Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","1993","1993","1000 USD","4610","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","1995","1995","1000 USD","3236","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","1996","1996","1000 USD","3254","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","1997","1997","1000 USD","2860","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","1998","1998","1000 USD","2863","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","1999","1999","1000 USD","3188","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2000","2000","1000 USD","3090","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2001","2001","1000 USD","4073","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2002","2002","1000 USD","4340","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2003","2003","1000 USD","4224","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2004","2004","1000 USD","5633","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2005","2005","1000 USD","6248","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2006","2006","1000 USD","11802","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2007","2007","1000 USD","17517","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2008","2008","1000 USD","21455","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2009","2009","1000 USD","21867","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2010","2010","1000 USD","19438","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2011","2011","1000 USD","24738","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2012","2012","1000 USD","26362","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2013","2013","1000 USD","37267","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2014","2014","1000 USD","38963","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2015","2015","1000 USD","35686","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2016","2016","1000 USD","38714","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2017","2017","1000 USD","44472","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2018","2018","1000 USD","47166","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2019","2019","1000 USD","37345","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2020","2020","1000 USD","52139","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2021","2021","1000 USD","65689","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01341","Apples","2022","2022","1000 USD","57781","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","1995","1995","1000 USD","1683","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","1996","1996","1000 USD","2831","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","1997","1997","1000 USD","2079","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","1998","1998","1000 USD","1972","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","1999","1999","1000 USD","2222","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2000","2000","1000 USD","2679","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2001","2001","1000 USD","3668","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2002","2002","1000 USD","3425","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2003","2003","1000 USD","4136","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2004","2004","1000 USD","5277","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2005","2005","1000 USD","7209","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2006","2006","1000 USD","9003","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2007","2007","1000 USD","7879","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2008","2008","1000 USD","10966","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2009","2009","1000 USD","12247","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2010","2010","1000 USD","11210","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2011","2011","1000 USD","9562","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2012","2012","1000 USD","16157","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2013","2013","1000 USD","30617","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2014","2014","1000 USD","24093","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2015","2015","1000 USD","15035","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2016","2016","1000 USD","22529","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2017","2017","1000 USD","25812","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2018","2018","1000 USD","12331","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2019","2019","1000 USD","20596","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2020","2020","1000 USD","20970","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2021","2021","1000 USD","32086","E","Estimated value"
"QV","Value of Agricultural Production","008","Albania","57","Gross Production Value (current thousand US$)","01344.02","Cherries","2022","2022","1000 USD","24776","E","Estimated value"
